Link,Title,Loc,Sal,Summary
https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d,Data Specialist (Scientist&&Engineer),아우름플래닛 서울 마포구,Data Specialist (Scientist&&Engineer),,"Keras, Pytorch, Theano 등)를 하나 이상 사용할 수 있는 분 • R, Python, Scala, SQL 등을 이용한 데이터 분석 및 프로그램 개발 능력이 있는 분 • 데이터 분석 기법, 기초통계 및 회귀모형..."
https://kr.indeed.com/viewjob?jk=be6c1f03fa566f8e,추천 시스템 연구/개발,카카오 4.2 성남 판교역,추천 시스템 연구/개발,,"Matrix Factorization 프로그래밍 언어 Python, C/C++, Go, Java, Scala, Matlab, R 관련 서비스 미디어다음, 브런치, 카카오TV, 1Boon, 카카오페이지, 다음앱, 카카오..."
https://kr.indeed.com/viewjob?jk=e0506fe72721e74d,Data Engineer,하이퍼커넥트 서울,Data Engineer,,"하는 업무 능력 Python 혹은 Scala, SQL 실무 경험 담당 업무... 커뮤니케이션 경험 airflow, spark, spark stream, scala, hbase, firebase 실무 경험 kafka, elastic..."
https://kr.indeed.com/viewjob?jk=cef60a5a4a42fe95,AD Performance Dev,LINE Plus corporation 성남 서현역,AD Performance Dev,,"러닝 실무 경력이 있는 자 아래 요건 중 최소 한 가지 해당 - Golang, C/C++, Java, Scala 중 2개 이상의 개발 언어에 능숙한 자 - 위 언어중 1개에 익숙하고 R 또는 Python 기반으로 분석..."
https://kr.indeed.com/viewjob?jk=4fbc49b63296ff88,Data Engineer (Analytics/Anomaly-detecti...,LINE Plus corporation 성남 서현역,Data Engineer (Analytics/Anomaly-detecti...,,"자 - VCS(Git) 기반으로 협업하는 것이 익숙한 자 - 데이터 분석 및 추출을 위한 Python, Scala 언어를 사용할 줄 아는 자 [우대사항] - Hadoop 기반 분석 환경(Spark, Hive 등) 빅데..."
https://kr.indeed.com/viewjob?jk=e01c7ac25340705b,Data Engineer,토스 서울 강남구,Data Engineer,,"Kafka, Spark 등) 활용 경험이 있는 분 데이터 분석도구 개발을 위한 소프트웨어 개발 역량(Java, Scala, Python 등)을 갖춘 분 우대 사항 중급 이상의 프로그래밍 개발 역량을 보유한 분(웹/클라이언트..."
https://kr.indeed.com/viewjob?jk=632cd3f51ad2a385,백엔드 개발자 (데이터 엔지니어) Senior - 빅데이터 분석 인프라...,유저해빗 서울 마포구,백엔드 개발자 (데이터 엔지니어) Senior - 빅데이터 분석 인프라...,"연봉 80,000,000원 - 100,000,000원",기능개발[근무부서및직급/직책]근무부서:개발팀직급/직책:팀원[자격요건]-경력사항:경력(7년이상)-java혹은 scala경험자-spark프로그래밍개발-데이터에관심이많으신분-새로운트렌드및설계를스스로도입할수있는분[우대사항]-Spark...
https://kr.indeed.com/viewjob?jk=8dfc9993e2aa9160,유저프로파일팀 - 데이터 모델러,Nexon 성남 분당구,유저프로파일팀 - 데이터 모델러,,"있게 활용할 수 있도록 가이드 합니다. - 주요 활용 tool : SQL, Zeppelin, Python, Scala, Tableau 지원자격 - (필수) 논리적이고 체계적인 문제 해결 및 커뮤니케이션 능력을 소유하신 분..."
https://kr.indeed.com/viewjob?jk=a23938a1b6969c37,[Data Lab] 빅데이터 활용 개발 경력사원,네이버 대한민국,[Data Lab] 빅데이터 활용 개발 경력사원,,"시스템을 활용하여 지표 분석 또는 집계 경험이 있거나 , 데이터 파이프라인 구축 및 개발 경험 - Java, Scala, Python 등의 최소 1 가지 언어를 활용한 소프트웨어 개발 역량 - 리눅스 환경에서의 시스템 개발..."
https://kr.indeed.com/viewjob?jk=d1e75364ef505c68,"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",카카오 4.2 성남 판교역,"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",,술에 자신감이 있으신 분도 환영합니다. 지원자격 머신 러닝/통계 등 모델링에 활용하는 언어(Python/ Scala/R 등) 및 도구(Tensor flow/Pytorch 등)를 하나 이상 능숙하게 다룰 수 있으신 분 어떤...
https://kr.indeed.com/viewjob?jk=6e76f9151e44ad64,[Search] 음악 추천 AI 기술 개발 신입/경력사원,네이버 대한민국,[Search] 음악 추천 AI 기술 개발 신입/경력사원,,"API/Kafka 스트림 처리 ) 분야에 대한 경험이 풍부하신 분 우대 · C, Java, Python, Scala 등 하나 이상의 언어에 능숙 하신 분 · 위 채용분야 관련 2 년 이상 실무 경험 또는 대학원 경력 보유자..."
https://kr.indeed.com/viewjob?jk=a03fdcac1dffb97a,데이터 분석가(팀원급),리디 서울,데이터 분석가(팀원급),,"활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 리디 서비스 사용 경험 통계 모델링 또는 머신러닝 경험 데이터 시각..."
https://kr.indeed.com/viewjob?jk=ea3b136c0ff59524,데이터분석가(게임어뷰징 탐지),Nexon 성남 분당구,데이터분석가(게임어뷰징 탐지),,"등의 빅데이터 활용 업무경력) - 논리적이고 체계적인 문제 해결 및 커뮤니케이션 능력 - Python, Scala 등과 같은 프로그래밍언어로 데이터 분석 및 모델링 능력 (탐색적 데이터분석/ 데이터 전처리/ 기계학습..."
https://kr.indeed.com/viewjob?jk=d0ed8660cd98f4c0,빅데이터 플랫폼 개발자,카카오 4.2 성남 판교역,빅데이터 플랫폼 개발자,,데이터 클러스터링 및 abnormal 데이터 분석 지원자격 개발 경력 2년 이상 Pyrhon/Java/ Scala 등의 언어로 개발하실 수 있는 분 오픈소스와 빅데이터 플랫폼에 관심이 많으신 분 대용량 데이터 처리 유경험...
https://kr.indeed.com/viewjob?jk=924d1be5b05890da,(Search) 쇼핑검색 AI 기술 개발 신입/경력사원 모집,NAVER 3.9 성남 정자동,(Search) 쇼핑검색 AI 기술 개발 신입/경력사원 모집,,"Large-scale data processing 자격요건 및 우대사항 · C, Java, Python, Scala 등 하나 이상의 언어에 능숙 하신 분 · 위 채용분야 관련 2년 이상 실무 경험 또는 대학원 경력..."
https://kr.indeed.com/viewjob?jk=02dd3cb5f0906404,Data Engineer,레이니스트 서울,Data Engineer,,"Collection, Data Pipeline, Data Warehouse 구축 경험 보유 Python / Java( Scala) 를 이용하여 데이터 처리 개발 가능 AWS, GCP 중 하나 이상의 클라우드 환경에서 데이터..."
https://kr.indeed.com/viewjob?jk=faf0422473d4188a,[Search] 쇼핑검색 AI 기술 개발 신입/경력사원,네이버 대한민국,[Search] 쇼핑검색 AI 기술 개발 신입/경력사원,,"Large-scale data processing [자격요건 및 우대사항] · C, Java, Python, Scala 등 하나 이상의 언어에 능숙 하신 분 · 위 채용분야 관련 2 년 이상 실무 경험 또는 대학원 경력..."
https://kr.indeed.com/viewjob?jk=c78a3c5d7bb7d883,웹 애플리케이션 개발자,Nexon 성남 분당구,웹 애플리케이션 개발자,,"ELK Full stack 구축, 운영 경험 클러스터링/고가용성 아키텍처의 이해 및 사용 경험 - Scala, Akka, Spark, Kafka, Zookeeper, Hadoop, Hbase 기타사항 - 서류 접수 이후..."
https://kr.indeed.com/viewjob?jk=20d40ee61adffeca,챗봇 플랫폼 개발자,카카오 4.2 성남 판교역,챗봇 플랫폼 개발자,,"관심과 열정이 남다르신(실) 분 새로운 기술과 서비스에 대한 두려움이 없으신 분 서버 개발 Java, Scala, Kotlin 등의 JVM 기반 언어 및 Python을 이용해서 실서비스 개발 및 운영해보신 분 데이터..."
https://kr.indeed.com/viewjob?jk=498cbbf909edbab6,Global Payment 데이터 분석,LINE Plus corporation 성남 판교역,Global Payment 데이터 분석,,"가능 - Data Visualization 능력 - 데이터 분석/모델링을 위한 언어 가능 (R/Python/ Scala 등) - Hadoop M/R, Hive, Spark 등 빅데이터 분석 플랫폼 사용 경험자 - 해외..."
https://kr.indeed.com/viewjob?jk=67ca30c143379281,Data Scientist III,Amazon Web Services Korea LLC 서울,Data Scientist III,,"software development in languages like Java, Python, Scala. Experience working with RESTful API and general service oriented..."
https://kr.indeed.com/viewjob?jk=5e7504a283c851a0,API 테스트 플랫폼 개발자,카카오 4.2 제주도,API 테스트 플랫폼 개발자,,"케이션 스킬을 보유하신 분 API Testing 분야에서 개발/컨설팅 전문가가 되시고 싶은 분 java, scala, kotlin 등 Functional 또는 OOP Language, 한 가지 이상을 능숙하게 사용할 수 있으..."
https://kr.indeed.com/viewjob?jk=a0189433794de62c,[NAVERxLINE] Global Ad Web/Backend Engin...,네이버 대한민국,[NAVERxLINE] Global Ad Web/Backend Engin...,,"경험 · 다양한 기술(Java, Javascript, Kotlin, Scala, Spring, Spark, MongoDb, Redis등)을 깊은 수준... Golang, C/C++, Java, Scala 중 2개 이상의 개발 언어..."
https://kr.indeed.com/viewjob?jk=cac18e6bcbee5a21,Front end 개발자,브릭 성남 분당구,Front end 개발자,"연봉 28,000,000원","HBase, 기타 ElasticSearch 사용 언어 (빈도수 순) : Java, C#, Javascript, Scala, Python, R, C++ 7. 근무 조건 근무장소 : 경기도 성남시 분당구 판교역로 230..."
https://kr.indeed.com/viewjob?jk=711b922289384d7f,금융플랫폼 AI 플랫폼 연구개발,금융그룹 AI 플랫폼 연구개발 서울,금융플랫폼 AI 플랫폼 연구개발,,학위 이상 보유자 (박사 우대) - 관련 경력 2년 이상 * 필수조건... Python / Scala / Java / JavaScript / TypeScript 중급 이상 (택1) - Data scientific...
https://kr.indeed.com/viewjob?jk=085508e3549cfaa6,데이터 분석 전문가 & PM,토이스미스 서울 강남구,데이터 분석 전문가 & PM,,"적인 빅데이터 관리 및 프로세스 경험 l 클라우드 서비스 능숙자 l 프로그래밍 역량 (TensorFlow, Scala, R 등) l Elastic Search, Kibana 사용 경험 l 수학, 통계, 물리, 공학 전공자 l..."
https://kr.indeed.com/viewjob?jk=5b8d56d7f11903a2,데이터연동개발팀 - 데이터엔지니어,Nexon 성남 분당구,데이터연동개발팀 - 데이터엔지니어,,경험이 있으신 분 - SQL 활용 능력이 뛰어나신 분 우대사항 - 경력 3년 이하 - Python이나 Scala 등과 같은 프로그래밍 언어를 활용하여 ETL 개발이 가능하신 분 - Spark를 활용하여 데이터 파이프라...
https://kr.indeed.com/viewjob?jk=1961cdd73f62c880,"Specialized Solutions Architect III, Ana...",Amazon Web Services Korea LLC 서울,"Specialized Solutions Architect III, Ana...",,"least one or more programing languages... Python, Java and Scala. · Hands on experience leading large-scale global data..."
